unicode	ids_sequence	xhzd_index	variant	variant_warning	gong_huangcheng_reading	rhyme_class	initial_class	pronunciation_warning	english_definition
𗅗	⿲𘠐𘠳𘫿	2960			mej	1.33	I		to kneel
𗅘	⿲𘠐𘣴𘠴	1913			khã	1.24	V		true
𗅙	⿲𘠐𘢅𘢌	2363			mjij	1.36	I		behind
𗅚	⿲𘠐𘢌𘡦	1950			bjịj	1.61	I		to cast sidelong glances
𗅛	⿲𘠐𘢌𘡴	2826			ljɨj	2.37	IX		the sun
𗅜	⿲𘠐𘢌𘢉	2353			khjiw	2.40	V		to abandon
𗅝	⿲𘠐𘢌𘢶	2914			bjịj	1.61	I		foolish
𗅞	⿰𘠐⿺𘡄𘣧	1964			lhə		IX		smooth
𗅟	⿰𘠐⿺𘡄𘤧	3767			rewr	1.87	IX		sharp
𗅠	⿲𘠐𘤘𘠴	1909			gur	1.75	V		ox
𗅡	⿰𘠐⿸𘡋𘣟	3517	𗅡		khiwə	1.28	V		horn
𗅢	⿲𘠐𘢤𘢌	2364			se̱w	2.41	VI		to survey
𗅣	⿰𘠐𘩸	3493			rjur	1.76	IX		firefly
𗅤	⿰𘠐𘪁	3475			mar	2.73	I		sorrowful
𗅥	⿲𘠐𘤫𘠴	1899			tju	2.3	III		to beat
𗅦	⿲𘠐𘧀𘠢	2707			·u	2.1	VIII		anger
𗅧	⿲𘠐𘤻𘠴	1907			gju	2.3	V		tendon
𗅨	⿲𘠐𘢷𘢌	2376			mjịj	2.54	I		nothing
𗅩	⿲𘠐⿱𘥄𘠒𘠉	2952			lwow	1.54	IX		absurd
𗅪	⿰𘠐𘪒	2929			kiwej	1.34	V		to lose
𗅫	⿲𘠐𘣇𘢌	2369			kjiwr	2.79	V		to revere
𗅬	⿰𘠐𘪙	1969			dzjiw	2.40	VII		abortion
𗅭	⿲𘠐𘠩𘦳	3505			ŋewr	1.87	V		to chop
𗅮	⿰𘠐⿱𘡩𘣦	2830			dju	1.3	III		to announce
𗅯	⿲𘠐𘣟𘢌	2377			kjɨ	1.30	V		to prohibit
𗅰	⿰𘠐⿺⿱𘠀𘠔𘦳	3463			lwəj	1.40	IX		slow
𗅱	⿰𘠐⿳𘠀𘡊⿰𘠳𘠢	1904			tjɨ̣j	2.55	III		map
𗅲	⿰𘠐⿱𘠀⿰𘦳𘠢	1910			tjɨ̣j	2.55	III		ceremony
𗅳	⿲𘠐𘢌𘤳	2933			ge̱j	2.34	V		a transliteration
𗅴	⿲𘠐𘢌𘥗	2932			lẹj	2.53	IX		avarice
𗅵	⿲𘠐𘤏𘢌	2370			mjij	2.33	I		land
𗅶	⿰𘠐𘪧	2565			twə̣	1.68	III		to take out
𗅷	⿲𘠐𘢚𘤻	2962			dźjij	1.36	VII		tooth
𗅸	⿲𘠐𘤘𘡯	1967			kwə	2.25	V		to roar
𗅹	⿲𘠐𘤘𘢌	2375			·ja	1.20	VIII		east
𗅺	⿲𘠐𘢡𘤄	2367			tshjɨ	1.30	VI		goat
𗅻	⿲𘠐𘢡𘤺	2910			tshjɨ	1.30	VI		lamb
𗅼	⿰𘠐⿱𘠚𘧨	3492			tjọ	1.72	III		to drink
𗅽	⿲𘠐⿱𘠚𘠳𘢯	2817			tew	1.43	III		dim
𗅾	⿲𘠐𘤩𘢶	2915			no	1.49	III		rib
𗅿	⿰𘠐𘪴	3494			dzjịj	1.61	VI		muddy
𗆀	⿲𘠐𘧀𘠴	1915			·u	2.1	VIII		salt
𗆁	⿰𘠐⿰𘢰⿰𘢌𘠁	2355			sã	1.24	VI		scattered
𗆂	⿲𘠐𘢷𘤾	2827			phej	1.33	I		to tie
𗆃	⿲𘠐𘥖𘢌	2374			pụ	2.51	I		well
𗆄	⿰𘠐⿱𘣋𘣟	2984			pjụ	1.59	I		measure
𗆅	⿰𘠐⿱𘣍⿰𘫺𘠢	1911					VII	true	tail
𗆆	⿰𘠐⿳𘣘𘠚𘠳	2903			kiwəj	1.41	V		clumsy
𗆇	⿲𘠐𘣩𘤾	2825			ŋwər	2.76	V		to heal
𗆈	⿲𘠐𘢌⿺𘠔𘢌	2357			gjị	2.60	V		wide
𗆉	⿲𘠐𘢌𘦗	3459			kio	1.50	V		to drive
𗆊	⿲𘠐𘢌𘦜	3458			kia	1.18	V		uneven
𗆋	⿲𘠐𘢌𘦺	2902			śjwɨ	1.29	VII		to cry
𗆌	⿲𘠐𘢌𘧓	2837			bu	1.1	I		a transliteration
𗆍	⿲𘠐𘢔𘥾	2368			ləw		IX		to abandon
𗆎	⿲𘠐𘢡𘦙	3454			tshjij	2.32	VI		sheep
𗆏	⿲𘠐𘢡𘦤	3768			tśjụ	2.52	VII		goat
𗆐	⿲𘠐𘦖𘢌	2373			ljịj	2.54	IX		to arrive
𗆑	⿲𘠐𘤩𘫽	2964			gja̱	2.21	V		to swallow
𗆒	⿲𘠐𘦳𘡭	1901			low	2.47	IX		slack
𗆓	⿲𘠐𘦹𘡧	1908			mjij	2.33	I		a surname
𗆔	⿲𘠐𘧀𘡡	2819			kạ	2.56	V		discipline
𗆕	⿲𘠐𘧀𘢌	2378			dji	1.11	III		internal organs
𗆖	⿲𘠐𘢷𘦞	3760			rjar	1.82	IX		farmland
𗆗	⿰𘠐𘫑	2966			kiej	1.34	V		short
𗆘	⿲𘠐𘣁𘥜	1916			khə̣	1.68	V		to contract
𗆙	⿰𘠐⿰𘠠⿰𘦂𘠢	2706			lhji̱	1.14	IX		warm
𗆚	⿰𘠐𘫖	1968			dzju̱	1.7	VI		to shake
𗆛	⿲𘠐𘢌𘧪	1951			sa	2.14	VI		to tie
𗆜	⿲𘠐𘢌𘨃	3761			tsar	1.80	VI		to flee
𗆝	⿲𘠐𘢌𘨰	2934			rər	2.76	IX		tooth
𗆞	⿲𘠐𘫺𘩁	1945			mjij	2.33	I		foresight
𗆟	⿲𘠐⿱𘡅𘤅𘠴	1903			mji	1.11	I		a surname
𗆠	⿲𘠐𘨃𘢌	2366			bu	1.1	I		to subdue
𗆡	⿲𘠐𘨈𘢌	2379			·ju	2.2	VIII		high
𗆢	⿰𘠐⿸𘡋𘩢	3478			khiwə	1.28	V		a kind of vegetable
𗆣	⿲𘠐𘦳𘤐	2558			·ji̱j	1.39	VIII		full
𗆤	⿲𘠐𘨦𘡧	1914			dźjị	2.60	VII		pit
𗆥	⿲𘠐𘧀𘣭	1917			khwa̱	2.19	V		decrepit and behind the times
𗆦	⿲𘠐𘧀𘣿	2395			dji	1.11	III		concave
𗆧	⿲𘠐𘤻𘦜	3457			sjiw	1.46	VI		new
𗆨	⿲𘠐𘢷𘨷	2968			mjịj	2.54	I		laborer
𗆩	⿰𘠐⿱𘥉𘦧	2703			phə	2.25	I		toil
𗆪	⿲𘠐𘣁𘨓	3769			·ji̱j	1.39	VIII		to exempt
𗆫	⿲𘠐𘧘𘣩	1946			lə		IX		to think of
𗆬	⿰𘠐⿱𘠀⿲𘡰𘤝𘠢	1902			wer	1.77	II		impressive and dignified manners
𗆭	⿲𘠐𘢌𘩛	2356			dźjiw	1.45	VII		to pursue
𗆮	⿲𘠐𘢌𘫴	2912			lhjwo	1.48	IX		to return
𗆯	⿲𘠐𘢡𘩢	3479			tshjɨ	2.28	VI		a kind of vegetable
𗆰	⿲𘠐𘦖𘦳	3502			lja	1.20	IX		to return
𗆱	⿲𘠐𘦢𘦳	3503			tha	2.14	III		to close
𗆲	⿲𘠐𘪲𘠴	1912			dze	1.8	VI		succession
𗆳	⿲𘠐𘦳𘥦	1896			·ji̱j	1.39	VIII		calm
𗆴	⿲𘠐𘨦𘤮	3476	𗆵		la	1.17	IX		honest
𗆵	⿰𘠐⿺𘨧𘤮	3464			la	1.17	IX		honest
𗆶	⿲𘠐𘢷𘩢	3480			rjar	2.74	IX		turnip
𗆷	⿲𘠐𘣃𘪒	2935			lạ	2.56	IX		many
𗆸	⿲𘠐𘨃𘥿	2371			bu	2.1	I		an insect name
𗆹	⿲𘠐𘦳𘨁	3500			·ji̱j	1.39	VIII		straight
𗆺	⿲𘠐𘦳𘨷	2965			lwow	1.54	IX		lazy
𗆻	⿲𘠐𘨻𘦜	3455			?a		VIII	true	alone
𗆼	⿲𘠐𘧘𘨏	3501			·jiw	2.40	VIII		doubt
𗆽	⿲𘠐⿱𘠙⿰𘠁𘫙	2552			tśhiə	1.28	VII		to take out
𗆾	⿰𘠐⿰𘢌⿰𘫿𘤏	2557			gjịj	1.61	V		inferior
𗆿	⿰𘠐⿱𘧉⿰𘤬𘠢	2916			phiar	1.81	I		loose
𗇀	⿰𘠐⿱𘥉⿰𘡵𘤻	2719			phə	2.25	I		to throw
𗇁	⿲𘠐⿱𘡩𘡃𘪴	3504			śjã	1.26	VII		(Buddhist) chan
𗇂	⿰𘠐⿱𘧉⿰𘧘𘢌	2967			sar	2.73	VI		to spread
𗇃	⿰𘠒𘦳	4648			xwa	2.14	VIII		trench
𗇄	⿲𘠒𘫿𘠆	4559			mẹ	2.58	I		to spread
𗇅	⿺𘠔𘢌	4560			tśhjɨ	1.29	VII		narrow
𗇆	⿰𘠕𘥜	2017			śiar	1.81	VII		impressive and dignified manners
𗇇	⿰𘠕𘦳	3538			xwa	1.17	VIII		monk
𗇈	⿲𘠕𘤩𘠢	2730			khwa	2.14	V		cloth
𗇉	⿲𘠕𘤧𘥿	2431			khwa	2.14	V		Han people
𗇊	⿱𘠙⿰𘡠𘠁	3836			thjij	2.33	III		a transliteration
𗇋	⿱𘠙⿰𘠐𘢓	3818			mjijr	2.68	I		an auxiliary word
𗇌	⿱𘠙⿰𘠁𘥦	3812			lu	2.1	IX		fortune
𗇍	⿱𘠙⿰𘦳𘠁	3834			lhew	2.38	IX		to catch fire
𗇎	⿱𘠙⿰𘠐𘦁	3815			wjịj	2.54	II		yoke
𗇏	⿱𘠙⿺𘢍𘢒	3831			ljij	2.33	IX		a surname
𗇐	⿱𘠙⿺𘢍⿰𘫺𘠅	3832	𗄄		djị	2.60	VI		to build
𗇑	⿱𘠙⿰𘢔𘣩	3839			xa	2.14	VIII		happy
𗇒	⿱𘠙⿰𘢔𘣴	3841	𗇓		śja	1.19	VII		rope
𗇓	⿱𘠙⿰𘢔𘣵	3837			śja	1.19	VII		rope
𗇔	⿱𘠙⿰𘢉𘦳	3827	𗈀		ljɨ	1.29	IX		to fall
𗇕	⿱𘠙⿰𘢔𘥭	3840			la	1.17	IX		open wide
𗇖	⿱𘠙⿰𘢚𘦳	3826			tśjɨ̱r	2.85	VII		to twine
𗇗	⿱𘠙⿲𘢔𘣴𘠢	3838			zer	1.77	IX		to tie
𗇘	⿱𘠙⿰𘦳𘤋	3835			lhew	2.38	IX		to extricate
𗇙	⿱𘠙⿲𘦳𘤋𘠢	3833			lwər	2.76	IX		to extricate
𗇚	⿱𘠚𘤃	4947			śjɨ	1.29	VII		a kind of vegetable
𗇛	⿱𘠚𘥿	4856			tjij	2.33	III		firefly
𗇜	⿱𘠚𘪘	5014			·jwar	1.97	VIII		to go
𗇝	⿳𘠚𘧉⿰𘢤𘢱	4689			·jwar	1.97	VIII		light
𗇞	⿱𘠛𘤧	1501			khow	1.54	V		hole
𗇟	⿱𘠛⿰𘠡𘠨	1335			khə	2.25	V		monkey
𗇠	⿱𘠛⿰𘠐𘡲	1020			bẹ	2.58	I		to pierce
𗇡	⿱𘠛⿰𘢌𘠢	1158			rjɨj	2.37	IX		one of the five two-hour periods into which the night was formerly divided
𗇢	⿱𘠛𘦧	911			ka	2.14	V		arduous
𗇣	⿱𘠛⿰𘠱𘢌	1524			kio	2.43	V		to dislike
𗇤	⿱𘠛⿺𘢍𘫺	1143						true	to fall
𗇥	⿱𘠛⿰𘫿𘠢	1159					IX	true	inclined to one side
𗇦	⿱𘠛⿰𘡘𘢉	1000			ljạ	1.64	IX		calamity
𗇧	⿱𘠛⿰𘠡𘤾	1179			khə	2.25	V		horse disease
𗇨	⿱𘠛⿰𘠨𘤥	1178			mja	1.20	I		end
𗇩	⿳𘠛𘡩𘣂	1549			low	2.47	IX		ancestor
𗇪	⿱𘠛⿺𘢍𘡷	1144			djị	2.60	III		hair
𗇫	⿱𘠛⿺𘢍⿰𘫺𘠅	1147	𗄄		djị	2.60	VI		to build
𗇬	⿱𘠛⿰𘢤𘢱	928			lwã	2.22	IX		in disorder
𗇭	⿱𘠛⿰𘢼𘢚	1559			ka	2.14	V		to spread
𗇮	⿱𘠛⿰𘡘𘤬	1067			rər	2.76	IX		shadow
𗇯	⿱𘠛⿲𘠣𘢯𘠢	978			da	2.14	III	true	slow
𗇰	⿱𘠛⿲𘠨𘡿𘠢	1215			mja	1.20	I		to think of
𗇱	⿱𘠛⿲𘠨𘢥𘠢	1188			ŋa	2.14	V		ovum
𗇲	⿱𘠛⿰𘠱𘦧	1488			lụ	1.58	IX		toil
𗇳	⿱𘠛⿰𘠱𘦳	1525			khio	1.50	V		to dislike
𗇴	⿱𘠛⿰𘢌𘣡	1206			dzow	1.54	VI		disease
𗇵	⿱𘠛⿺𘢍𘤻	1145			lhjwi	2.10	IX		old
𗇶	⿱𘠛⿲𘢌𘠈𘡱								
𗇷	⿱𘠛⿺𘡄𘥿	1146			kạ	2.56	V		tattered
𗇸	⿱𘠛⿰𘫺𘧓	1421			zjɨ̣	1.69	IX		daylight
𗇹	⿱𘠛⿰𘦢𘠴	965			khiã	1.25	V		salted
𗇺	⿱𘠛⿰𘦦𘡑	1044			lju	2.2	IX		fault
𗇻	⿱𘠛𘪰	901			niəj	2.36	IV		dirt
𗇼	⿱𘠛⿰𘢭𘣵	1189			gjwã	2.24	V		goat
𗇽	⿳𘠛𘡩⿰𘠒𘢓	992			dzjụ	2.52	VI		forefathers
𗇾	⿳𘠛𘡩⿰𘡔𘡃	1069			dow	2.47	VI		to move
𗇿	⿱𘠛⿰𘣿𘤾	1432			djij	1.36	II		disease
𗈀	⿱𘠛⿰𘢉𘦳	1068			ljɨ	1.29	IX		to fall
𗈁	⿳𘠛𘠙⿲𘫺𘠁𘢐	1225			·wju̱	1.7	II		sad
𗈂	⿱𘠛⿰𘫾𘤩	1297			ka	2.14	V		pot
𗈃	⿱𘠛⿰𘤩𘥔	1422			sju̱	1.7	VI		deer
𗈄	⿱𘠛⿰𘡒𘨆	1517			njɨ̱	2.29	III		to abuse
𗈅	⿱𘠛⿲𘢷𘠁𘤩	1455			lej	2.30	IX		to return
𗈆	⿱𘠛⿰𘥇𘤏	1047			tshjịj	2.54	VI		devil
𗈇	⿱𘠛⿲𘡘𘢌𘠴	942			ljạ	1.64	IX		north
𗈈	⿱𘠛⿲𘠨𘦖𘠢	1210			dźiã	2.23	VII		egg
𗈉	⿱𘠛⿲𘣟𘠐𘢌	1470					III	true	to lose
𗈊	⿱𘠛⿰𘧥𘢓								
𗈋	⿱𘠛⿲𘠱𘦢𘠢	1490			tsur	1.75	VI		winter
𗈌	⿱𘠛⿰𘣿𘦢	1469			djij	2.33	III		to steal
𗈍	⿱𘠛⿰𘢉𘨱	919			tsja	1.20	VI		ghost
𗈎	⿱𘠛⿲𘢌𘠐𘤾	1187					III	true	disease
𗈏	⿱𘠛⿰𘤋𘦧	1177			djij	2.33	VI		toil
𗈐	⿱𘠛⿲𘤜𘢌𘠢	944			mə̣	1.68	I		not
𗈑	⿱𘠛⿰𘦦𘤻	1110			dzji	1.11	VI		hard punishment
𗈒	⿱𘠛⿰𘫿𘦳	1298			kjiwr	2.79	V		elbow
𗈓	⿱𘠛⿰𘢷𘧭	1445			lej	2.30	IX		winecup
𗈔	⿱𘠛⿰𘢼𘨱	1550			ka	2.14	V		a kind of bird
𗈕	⿱𘠛⿰𘧥⿱𘡅𘠡	1267			zie	2.8	IX		to boil in a covered pot over a slow fire
𗈖	⿱𘠛⿲𘣫𘢌𘠴	1555						true	to scold
𗈗	⿱𘠛⿲𘢉𘢌𘢉	1001			de̱	2.11	III		dirt
𗈘	⿱𘠛⿰𘤃𘨱	1202			xwẽ	2.13	VIII		devil
𗈙	⿱𘠛⿲𘢌𘠈𘨆	1399			tśju̱	1.7	VII		to envy
𗈚	⿱𘠛⿰𘨎𘣑	1460			gju	1.3	V		discontinuity
𗈛	⿱𘠛⿰𘨎𘤕	1459			gju	1.3	V		rare
𗈜	⿱𘠛⿰𘪲𘠴	1160			ka	2.14	V		to separate
𗈝	⿱𘠛⿲𘡒𘨆𘠢	1486			tsẽ	1.15	VI		to swear
𗈞	⿱𘠛⿰𘨷𘣡	1207			dzjar	2.74	VI		to extinguish
𗈟	⿱𘠛⿲𘠁𘤄𘨷	1104			tjij	2.33	III		wild goat
𗈠	⿱𘠛⿰𘠣⿰𘤏⿰𘢒𘠢	943			dzji	1.11	VI		wrong
𗈡	⿳𘠛𘡩⿰𘣚𘤳	990			zowr	1.91	IX		sexual desire
𗈢	⿱𘠛⿲𘠵𘦽𘣡	916			tshu	1.1	VI		conceited
𗈣	⿱𘠛⿲𘫿𘢌𘫿	1377			kjiwr	2.79	V		slanting
𗈤	⿱𘠛⿺𘢍⿰𘤻𘦧	1181			śju	1.2	VII		tattered
𗈥	⿳𘠛𘡩⿲𘢌𘠈⿱𘡎𘢌	1396			dźie̱j	1.38	VII		lascivious
𗈦	⿱𘠛⿰𘪢𘨆	1336			lha		IX		to confuse
𗈧	⿱𘠛⿰𘪢𘨱	1161			śjịj	1.61	VII		ghost
𗈨	⿱𘠛⿰𘦳𘫙	1180			lo	1.49	IX		to dig
𗈩	⿰𘠞𘢷	5955			·o	1.49	VIII		a transliteration
𗈪	⿰𘠞𘤭	5981			·a		VIII		one
𗈫	⿲𘠞𘤳	5948			ljwịj	2.54	IX		great-great-grandson
𗈬	⿲𘠞𘫿	5951			·a		VIII		boots wearing in mud
𗈭	⿰𘠞𘥦	5835			khwa	1.17	V		to make a detour
𗈮	⿰𘠞𘥫	5846	𗈯		ɣier	1.78	VIII		to die
𗈯	⿰𘠞𘥬	5837			ɣier	1.78	VIII		to die
𗈰	⿰𘠞𘦳	5982			njar	2.74	III		to lose
𗈱	⿲𘠞𘢷𘠢	5913			rjar	1.82	IX		an auxiliary word
𗈲	⿲𘠞𘫽𘠢	5911			khwa	1.17	V		far
𗈳	⿰𘠞𘨼	5958			·o	2.42	VIII		a transliteration
𗈴	⿲𘠞𘠣𘤡	5992			rjor	2.81	IX		presently
𗈵	⿰𘠞⿱𘠀⿰𘤕𘠢	5838			dźjɨ̣	2.61	VII		to combine
𗈶	⿲𘠞𘢚𘡴	5918			sjɨ	1.30	VI		to die
𗈷	⿲𘠞𘢌𘤱	5956			ŋewr	2.78	V		exercise evil influence
𗈸	⿲𘠞𘤆𘤏	5896			tśhjow	1.56	VII		to combine
𗈹	⿲𘠞𘫽𘨈	5985			sji̱	1.14	VI		to inspect
𗈺	⿰𘠞⿱𘢸⿰𘡤𘤻	5952			nia̱	2.20	III		ore
𗈻	⿰𘠠𘡧	426			tśiew	1.44	VII		hot
𗈼	⿰𘠠𘢌	625			pju	2.3	I		a surname
𗈽	⿲𘠠𘡗𘠅	1506			pe	1.8	I		dirty
𗈾	⿰𘠠𘤕	732			lhjwạ	1.64	IX		ash
𗈿	⿰𘠠𘦢	1829			tshja	1.20	VI		to heat up
𗉀	⿰𘠠𘦳	1825			tshjwa	1.20	VI		to roast
𗉁	⿰𘠠𘧦	439			·ji	1.10	VIII		to cook
𗉂	⿰𘠠⿱𘣍𘠺	440			ɣiẹ	1.66	VIII		concubine
𗉃	⿰𘠠𘩸	1826			tjij	1.36	III		lamp
𗉄	⿲𘠠𘣚𘥕	1497			dźia	1.18	VII		to stir-fry
𗉅	⿲𘠠𘫽𘤅	618			tsja	1.20	VI		hot
𗉆	⿲𘠠𘦱𘡰								
𗉇	⿰𘠠𘫙	431			tsja	1.20	VI		rapid
𗉈	⿰𘠠⿱𘡣𘧱	453	𗉇		tsja	1.20	VI		rapid
𗉉	⿲𘠠𘨃𘤆	735			dźjij	1.36			cool
𗉊	⿲𘠠𘨃𘤊	1521			dźjwij	1.35	VII		burning hot
𗉋	⿰𘠡𘠡	1259			tśiow	1.55	VII		to gather
𗉌	⿱𘠡𘠺	1168			pju	2.3	I		butterfly
𗉍	⿰𘠡𘡫	372			śjwa	1.19	VII		to hold
𗉎	⿰𘠡𘢚	684			bẹj	1.60	I		eulogy
𗉏	⿰𘠡𘣣	365			kwow	1.54	V		to face upward or downward
𗉐	⿰𘠡𘣲	862			tśiow	2.48	VII		thatched hut
𗉑	⿲𘠡𘠁𘢌	571			dzjwɨ̣	1.69	VI		post
𗉒	⿲𘠡𘠁𘢝								
𗉓	⿲𘠡𘠁𘢰	1250			phji	1.11	I		house
𗉔	⿰𘠡𘤆	707			tśjiw	1.45	VII		a transliteration
𗉕	⿰𘠡𘫽	1349			tśjɨ̱r	2.85	VII		saint
𗉖	⿰𘠡𘤧	1861			tshjɨj	1.42	VI		small
𗉗	⿰𘠡𘤫	1714			me̱	2.11	I		to lie
𗉘	⿰𘠡𘤷	1374			tśhjɨ	1.29	VII		a pronoun
𗉙	⿲𘠡𘡒𘠡	1261			djị	1.67	III		mad
𗉚	⿰𘠡𘥔	1424			thju	1.3	III		blood relations
𗉛	⿲𘠡𘡡𘠡	1262			zjị	1.67	IX		vexed
𗉜	⿲𘠡𘡫𘠢	800			dze̱j	1.37	VI		to struggle
𗉝	⿲𘠡𘠁𘤃	585			śjị	2.60	IX		cogongrass
𗉞	⿲𘠡𘠁𘤧	1862			ɣu	1.4	VIII		to float
𗉟	⿲𘠡𘠁𘤬	1767			·ja	1.20	VIII		cat
𗉠	⿲𘠡𘢡𘠡	1260			tśju	1.2	VII		camel
𗉡	⿰𘠡𘦭	1750			kiew	2.39	V		uneven
𗉢	⿰𘠡𘦳	1751			śjwa	1.19	VII		hand
𗉣	⿲𘠡𘢰𘠢	797			phji	1.11	I		scheme
𗉤	⿲𘠡𘥇𘠁	530			tśhjɨ	1.29	VII		to carry on the back
𗉥	⿰𘠡⿱𘣘𘠞	896			gjwij	1.36	V		eating one’s fill
𗉦	⿲𘠡𘤜𘠢								
𗉧	⿰𘠡𘨠	1777			tshjɨ̣j	1.62	VI		door
𗉨	⿰𘠡𘨢	1783			tśjɨ̱r	2.85	VII		five
𗉩	⿰𘠡𘨰	1249			gio̱	1.53	V		to bite
𗉪	⿲𘠡𘡡𘢷	1409			tśhiəj	2.36	VII		vexation
𗉫	⿲𘠡𘦏𘠡	1263			khe̱j	1.37	V		recreation
𗉬	⿰𘠡𘩫	1682			gjwij	1.36	V		to offer sacrifices to god or ancestors
𗉭	⿲𘠡𘢰𘢌	572			tśjɨj	1.42	VII		scheme
𗉮	⿰𘠡𘪘	824			tśhjɨ	2.27	VII		immediately
𗉯	⿲𘠡𘠣𘦲	1689			kia	1.18	V		pan
𗉰	⿰𘠡⿱𘡩𘣟	879			tśhjɨ	1.29	VII		to seek
𗉱	⿲𘠡𘢌𘤔	677			śjwu	1.2	VII		to flatter
𗉲	⿲𘠡𘤷𘡧	282			tśhjiw	1.45	VII		other
𗉳	⿰𘠡𘫎	1752			kwạ	2.56	V		hoe
𗉴	⿲𘠡𘤷𘤥	1687			tśhjɨ	2.27	VII		lean meat
𗉵	⿲𘠡𘢰𘦜	1686			wji	2.9	II		to know
𗉶	⿲𘠡𘦏𘣩	327			mə	2.25	I		lonely
𗉷	⿲𘠡𘢰𘪣	366			tśhju̱	2.6	VII		be inverted
𗉸	⿲𘠣𘠌𘠅	3026			xow	2.47	VIII		marsh
𗉹	⿰𘠣𘠳	2030			bju	1.2	I		to mix
𗉺	⿰𘠣𘠴	1987			śia	1.18	VII		sand
𗉻	⿰𘠣𘡑	3019			tshjij	1.36	VI		to analyze
𗉼	⿰𘠣𘡔	3023			ɣa	1.17	VIII		tasteless
𗉽	⿰𘠣𘡦	2031			sə	2.25	VI		clean
𗉾	⿰𘠣𘡧	1988			śiar	1.81	VII		to mix
𗉿	⿰𘠣𘡯	2044			rjor	2.81	IX		saliva
𗊀	⿰𘠣𘡾	3000			ɣju	1.3	VIII		ditch
𗊁	⿰𘠣𘢝	2582			nia̱	2.20	III		mud
𗊂	⿰𘠣𘢷	3070			dzjwɨ̣	1.69	VI		boat
𗊃	⿰𘠣𘣑	2041			mur	1.75	I		wine
𗊄	⿲𘠣𘠌𘡃	3046			tjɨj	1.42	III		a nail
𗊅	⿲𘠣𘡯𘠆	2404			dji	2.10	III		to drink
𗊆	⿰𘠣𘣦	2022			niọ	2.63	III		to rub
𗊇	⿰𘠣𘣩	2023			sa	2.14	VI		dried up
𗊈	⿲𘠣𘠳𘠢	2733			xwe	1.8	VIII		to howl
𗊉	⿰𘠣𘣹	3073			njọ	1.72	III		lubrication
𗊊	⿰𘠣𘤃	2422			lọ	1.70	IX		reed
𗊋	⿲𘠣𘢌𘠅	3031			tsji	2.10	VI		moisture
𗊌	⿰𘠣𘤊	3040			nju	1.3	III		sweat
𗊍	⿰𘠣𘤑	2575			kiwe̱	1.13	V		a kind of bird
𗊎	⿰𘠣𘤔	2577			?ow	2.47	III	true	dysentery
𗊏	⿰𘠣𘫾	2583			nji		III		pearl
𗊐	⿰𘠣𘤘	3539			zər	2.76	IX		calf
𗊑	⿰𘠣𘤻	3039			dzjwã	1.26	VI		water spring
𗊒	⿰𘠣𘥁	3084			pjạ	1.64	I		dregs
𗊓	⿰𘠣⿱𘠡𘠺	3011			mə	2.25	I		fountainhead
𗊔	⿰𘠣𘥓	3071			bia	2.15	I		to mix
𗊕	⿰𘠣𘥩	2032			śiə	1.28	VII		one of
𗊖	⿲𘠣𘠁𘣑	2045			·o	2.42	VIII		wine
𗊗	⿲𘠣𘠁𘣦	2024			lhjij	2.33	IX		soft
𗊘	⿲𘠣𘠐𘢬	3536			ɣiej	1.34	VIII		to mix
𗊙	⿲𘠣𘠁𘤃	2419			xwẽ	2.13	VIII		a surname
𗊚	⿲𘠣𘠁𘤄	2410			nji		III		otter
𗊛	⿲𘠣𘠁𘤻	3045			tshew	1.43	VI		a transliteration
𗊜	⿰𘠣𘦞	3773			zju	2.2	VII		milk
𗊝	⿰𘠣𘦢	3544			dźja̱	1.21	VII		to cross
𗊞	⿰𘠣𘦬	3541			gji	1.11	V		honest
𗊟	⿲𘠣𘢪𘠢	2731			so̱	1.52	VI		sound
𗊠	⿰𘠣𘦮	3534			gjij	1.36	V		a surname
𗊡	⿰𘠣𘦳	3540			xa	1.17	VIII		a surname
𗊢	⿲𘠣𘢯𘠢	2737			ljɨ̱	1.32	IX		heavy
𗊣	⿰𘠣𘧀	3085			kụ	2.51	V		oral cavity
𗊤	⿲𘠣𘫿𘠉								
𗊥	⿰𘠣𘧓	2851			mə	2.25	I		moist
𗊦	⿲𘠣𘡡𘠴	2018			djɨ̱	2.29	III		to wash
𗊧	⿲𘠣𘡤𘠴	1990			tśhjwã	1.26	VII		river
𗊨	⿰𘠣𘧝	2054			tə̣	1.68	III		dirt
𗊩	⿲𘠣𘠌𘤏	2581			xow	2.47	VIII		harmonious
𗊪	⿰𘠣𘧤	2029			low	2.47	IX		country
𗊫	⿲𘠣𘠱𘡦	2040			nia̱	2.20	III		ice
𗊬	⿲𘠣𘠶𘢓	3027			hụ	2.51	V		lining
𗊭	⿲𘠣𘠐𘤾	2845			sej	1.33	VI		dropsy
𗊮	⿲𘠣𘠁𘦢	3547			lia	2.15	IX		drunkenness
𗊯	⿲𘠣𘡽𘠴	2004			khja	2.17	V		well
𗊰	⿲𘠣𘠁𘧃	3047			lju	2.2	IX		a bottle
𗊱	⿲𘠣𘡀𘢌	2412			dzjo	2.44	VI		poetry
𗊲	⿰𘠣⿱𘡅𘡫								
𗊳	⿲𘠣⿱𘠚𘠳𘠢								
𗊴	⿲𘠣𘤣𘠢	2734			sjij	1.36	VI		blood
𗊵	⿰𘠣𘨤	3048			tśhju	1.2	VII		strong
